"EventDate","CaclEventStartTime2","CalcEventEndTime2","CalcEventType","EventTitleName","EventLocation","EventDescription","Latitude","Longitude"
"April 7, 2011",11:30:00,14:00:00,"F","Lunch at Kappa Sigma","Kappa Sigma, 407 Memorial Dr., Cambridge","Just got to MIT? Stop by our house on campus for some lunch.","42.356125831374555","-71.09738945960999"
"April 7, 2011",12:00:00,13:00:00,"*TP","Campus Tour","Student Center (W20), 2nd Floor","Departing on the hour and the half hour from Wiesner Student Art Gallery. ","42.359083","-71.094761"
"April 7, 2011",12:00:00,14:00:00,"F","Taco Thursday!","Alpha Delta Phi, 351 Massachusetts Ave., Cambridge","Come enjoy tacos and burritos prepared by our world famous chef, Bobby Mac!","42.36287840127396","-71.09900951385498"
"April 7, 2011",12:00:00,14:30:00,"D","Courtyard Kickoff at Next","Next House (W71), Courtyard","Come chill with Nexties in our courtyard! Besides talking to residents and learning about our culture, warm-up for the upcoming weekend! Enjoy picnic food, throwing frisbees and playing flag football, and much more!","42.354563936125494","-71.10218524932861"
"April 7, 2011",12:00:00,15:00:00,"D","Building Seminar","East Campus (62), Talbot Lounge","Learn about using power tools while building a wooden structure. This will help you later in the weekend when we'll be building and fixing and taking down the wall of a house.","42.3602008473765","-71.0886561870575"
"April 7, 2011",12:30:00,13:30:00,"*TP","Campus Tour","Student Center (W20), 2nd Floor","Departing on the hour and the half hour from Wiesner Student Art Gallery. ","42.359083","-71.094761"
"April 7, 2011",12:47:00,13:17:00,"G","Duhr Prayer","Religious Activities Center (W11), 1st Floor, Musallah","Come pray with other MIT Muslims.",,
"April 7, 2011",13:00:00,14:00:00,"*TP","Campus Tour","Student Center (W20), 2nd Floor","Departing on the hour and the half hour from Wiesner Student Art Gallery. ","42.359083","-71.094761"
"April 7, 2011",13:00:00,14:00:00,"D","Haus Safari","Senior House (E2)","Come tour Senior Haus, a land steeped in history. See the wall paintings depicting Pokemon mating rituals, and marvel at the Unlimited Free Ramen Dispenser. If you're lucky, you may see the primeval tribes that call this place home.","42.360002652323054","-71.08686447143555"
"April 7, 2011",13:00:00,14:00:00,"*P","Student Financial Services Information Session ","Kresge Auditorium (W16)","All parents and students are encouraged to attend a presentation on financing an MIT education. Included will be information about the online student account, a general overview of the undergraduate financial aid program, how to apply for loans, and how to find on-campus student employment. Elizabeth M. Hicks, Executive Director of Student Financial Services.","42.35811976813594","-71.09493255615234"
"April 7, 2011",13:00:00,15:00:00,"D","Milkshakes, Cookies, and Smoothies","New House (W70), French House (House 6), 5th Floor Kitchen","Ils sont bons pour la sante.","42.355071358128356","-71.10119819641113"
"April 7, 2011",13:00:00,15:00:00,"D","Edible Circuit Boards","Meet at East Campus (62), Talbot Lounge","It's the MIT version of ginger bread men -- come learn about circuits and make them out of candy!","42.3602404863122","-71.08866691589355"
"April 7, 2011",13:00:00,16:00:00,"PGO","Cookies and Christianity","Religious Activities Center (W11), Room W11-080","Do you have questions about Christianity at MIT? Need information about Christian student groups and activities during CPW and next fall? Just want a place to relax and have some cookies? Drop by!","42.358242652824856","-71.09355926513672"
"April 7, 2011",13:00:00,16:00:00,"D","HEY YOU GUYS!","Burton-Conner House (W51), Lobby and TV Lounge","Come meet the dorm and its residents. Get a tour of our dorm, ask some questions about what to do this weekend, or just hang out with some cool people!",,
"April 7, 2011",13:00:00,18:00:00,"F","Rock Band","Alpha Delta Phi, 351 Massachusetts Avenue, Cambridge","Come play Rock Band 3 at the house where Eran Egozy, creator of Rock Band, lived as an MIT undergrad. We've got all of the instruments and an 80-inch projector screen for the ultimate Rock Band experience.","42.36288632872526","-71.09901487827301"
"April 7, 2011",13:30:00,14:30:00,"*TP","Campus Tour","Student Center (W20), 2nd Floor","Departing on the hour and the half hour from Wiesner Student Art Gallery. ","42.359083","-71.094761"
"April 7, 2011",14:00:00,15:00:00,"*TP","Campus Tour","Student Center (W20), 2nd Floor","Departing on the hour and the half hour from Wiesner Student Art Gallery. ","42.359083","-71.094761"
"April 7, 2011",14:00:00,15:00:00,"*DP","Residential Life Information Session ","Kresge Auditorium (W16) ","Henry Humphreys, Senior Associate Dean for Residential Life, will lead a discussion covering life in residences, residential support in the halls, activities, dining options, the freshman housing assignment process and more. We'll equip you with the answers to your most important questions pertaining to residential experiences at MIT.","42.358131660213104","-71.09503984451294"
"April 7, 2011",14:00:00,18:00:00,"RSO","MIT Asian Dance Team Rehearsal","McCormick Hall (W4), 1st Floor East Tower, Dance Studio","Come experience a rehearsal with MIT's Asian Dance Team! We will practicing for an upcoming Boston-wide Asian performing arts festival, in which we will be showcasing dances from Tibet, Mongolia, Japan, China, and more!","42.357366598663546","-71.09421908855438"
"April 7, 2011",14:30:00,15:30:00,"*TP","Campus Tour","Student Center (W20), 2nd Floor","Departing on the hour and the half hour from Wiesner Student Art Gallery. ","42.359083","-71.094761"
"April 7, 2011",15:00:00,16:00:00,"*TP","Campus Tour","Student Center (W20), 2nd Floor","Departing on the hour and the half hour from Wiesner Student Art Gallery. ","42.359083","-71.094761"
"April 7, 2011",15:00:00,16:00:00,"*P","The Urban Campus - Safety and Security","Kresge Auditorium (W16)","What does MIT do to ensure the safety of its students both on and off campus? How does MIT integrate into the urban landscape of Boston and Cambridge? John DiFava, Chief of MIT Police, and others will address these issues and answer your questions.","42.35809994800231","-71.09501838684082"
"April 7, 2011",15:00:00,16:00:00,"ADP","Tour of the Freshman Learning Communities","Room 24-612","Interested in a more personalized and interactive approach to your first year at MIT? Consider joining one of MIT's freshman learning communities. Find out more by taking a one-hour tour of all four programs (Concourse, Experimental Study Group, Media Arts and Sciences, and Terrascope). The tour will start in Room 24-612 (ESG) and will give you a chance to briefly visit all four programs and ask questions of staff and students involved. ","42.360700296138525","-71.09188556671143"
"April 7, 2011",15:00:00,16:00:00,"SDM","Goooooollll!","Johnson Athletic Center (W34), 2nd Floor, Infield","Come play soccer with members of Spanish House. Show us your skills or just come and shoot a couple goals with us. The game’s indoors, so rain or shine we'll be there.","42.35866085536887","-71.09538316726685"
"April 7, 2011",15:00:00,17:00:00,"D","Event with Food","Senior House (E2), Courtyard","You're hungry. You want to eat all of our delicious foods. Come. Come to Senior Haus, building E2. Across Ames Street and into your heart. ","42.35982824015892","-71.08675718307495"
"April 7, 2011",15:00:00,17:00:00,"D","Event with Food","Senior House (E2), Courtyard","You're hungry. You want to eat all of our delicious foods. Come. Come to Senior Haus, building E2. Across Ames Street and into your heart. ","42.35982824015892","-71.08675718307495"
"April 7, 2011",15:00:00,17:00:00,"DP","Next House Dorm Tours","Next House (W71)","Want to see what an awesome MIT dorm like Next House looks like? Stop by as we take you on a lively tour!","42.35454807912188","-71.10214233398438"
"April 7, 2011",15:00:00,17:00:00,"F","Grillin' on Kresge","Kresge BBQ Pits (Behind W16)","The brothers of Beta Theta Pi are grilling on campus. Come grab something to eat - we'll have burgers, veggie burgers, and over 20 of the hottest hot sauces.",,
"April 7, 2011",15:00:00,18:00:00,"F","ADPHi's Human Chess","Lobby 13","Were you ever jealous of the life sized chess in Harry Potter? Every wanted to be that Rook that put the King in check? Or perhaps be the indomitable King? Well now is your chance to become a Grandmaster in ADPhi’s Human Chess where you and other Prefrosh go head to head in the game of kings.","42.3583060770864","-71.09456777572632"
"April 7, 2011",15:00:00,18:00:00,"D","Next Surprise","Next House (W71)","Since MIT is certain to be a surprising new experience for you, we’ll kick it off with our own surprise! Come to find out what event we hold this time!","42.354500508087064","-71.10209941864014"
"April 7, 2011",15:00:00,20:00:00,"D","Hair Dyeing","East Campus (62), Talbot Lounge","We like hair dye. We want to share our hair dye with you. We also have non-permanent options.","42.360113641630015","-71.08855962753296"
"April 7, 2011",15:17:00,16:17:00,"D","Truffles","Random Hall (NW61)","Do you want delectable chocolate with raspberry? Boring ol' chocolate with vanilla? Will you show your chutzpah by trying chocolate with chipotle? How about chocolate with death wasabi - only for the brave of heart and palate. ","42.362035","-71.098074"
"April 7, 2011",15:30:00,16:30:00,"*TP","Campus Tour","Student Center (W20), 2nd Floor","Departing on the hour and the half hour from Wiesner Student Art Gallery. ","42.359083","-71.094761"
"April 7, 2011",15:30:00,17:00:00,"AP","Chemical Engineering Open House","Room 66-201","Chemical engineering is about transformation. It's about gaining fundamental knowledge about a substance, then using that knowledge to synthesize a solution for an important medical, mechanical, or societal need. MIT offers the largest chemical engineering program in the nation. Learn how we’re transforming lives and changing the world. Meet and chat with faculty and students, take a tour of our labs and learn about the exciting world of chemical engineering.  ","42.360890561289295","-71.08903169631958"
"April 7, 2011",16:00:00,17:00:00,"*TP","Campus Tour","Student Center (W20), 2nd Floor","Departing on the hour and the half hour from Wiesner Student Art Gallery. ","42.359083","-71.094761"
"April 7, 2011",16:00:00,17:00:00,"*AP","Student Opportunities to Go Global Panel","Room 26-100","This panel of administrators, faculty, and students will help you understand the range of international opportunities available to students to go global and the resources they can utilize to pursue their interests. The panel will also answer questions about specific programs, scheduling an experience abroad, safety and funding. ","42.3614613532848","-71.09098434448242"
"April 7, 2011",16:00:00,18:00:00,"DM","Fun With La Casa","New House (W70), House 3, 1st Floor, Spanish House Dining Area","Come play with la familia in Spanish House. We will have Loteria, Jenga and other games.","42.355019823268094","-71.10050618648529"
"April 7, 2011",16:00:00,18:00:00,"F","Ultimate Frisbee","Kappa Sigma, 407 Memorial Dr., Cambridge","Come relax and play a friendly game of ultimate with the brothers and friends of Kappa Sigma. We’ll meet up at 4pm and head over to Brigg's Field D (between Simmons, W79 and MacGregor, W61).","42.356371608310404","-71.09926700592041"
"April 7, 2011",16:00:00,18:15:00,"D","Cuisinez avec La Maison Francaise!","New House (W70), French House (House 6), 5th Floor Kitchen","Help La Maison Francaise prepare a scrumptious meal from scratch. Come chop, stir, sift, and immersion blend with us. Stick around until dinnertime, quand nous mangerons. No kitchen experience required!","42.355023787489614","-71.10113382339478"
"April 7, 2011",16:00:00,18:30:00,"FP","Finding Your Balance: Life at MIT ","Theta Delta Chi, 372 Memorial Dr., Cambridge","Interested in finding out more about life at MIT? Come and talk with the brothers and alumni of TDC. Ask us about classes, UROPs, being Greek, life after MIT, and how we find our balance. Parents are encouraged to come.","42.356355751762926","-71.09648287296295"
"April 7, 2011",16:00:00,19:00:00,"*A","Friday UROP Tours Sign-up","Student Center (W20), 3rd Floor, Mezzanine Lounge","See first-hand the accessible and cutting edge research opportunities available to MIT undergraduates! A complete list of tour descriptions for Friday’s UROP tours will be available. Tour sign-up required to participate. Limit one tour per student; first-come, first-served. For general information about the UROP program, come to the UROP discussion panel Friday, April 8th at 1pm in Kresge Auditorium (W16).","42.359019595617745","-71.09448194503784"
"April 7, 2011",16:00:00,20:00:00,"DP","Tours of East Campus","Meet at East Campus (62), Talbot Lounge","Come get a tour of the East Campus dorm. Hopefully you won't get attacked by vikings. Or maybe you think that sort of thing is cool. Leaving every half hour for most of the weekend.","42.360192919586375","-71.08866691589355"
"April 7, 2011",16:15:00,"?","F","Dominion","Epsilon Theta, 259 St. Paul St., Brookline","Use your cunning and wit to expand your domain while you play our favorite board game with us. Meet us at Lobby 7 to catch our Big Silver Van to Epsilon Theta.",,"USA"
"April 7, 2011",16:17:00,17:17:00,"D","Powerpoint Karaoke","Random Hall (NW61)","Are you ready for your presentation? What do you mean ""what presentation""? Yes, right now! What, you've never seen these slides before? No problem! Powerpoint Karaoke: we've got random slides you've never seen before, and it's your turn to present!","42.362035","-71.098074"
"April 7, 2011",16:27:00,16:57:00,"G","Asr Prayer","Religious Activities Center (W11), 1st Floor, Musallah","Come pray with other MIT Muslims.",,
"April 7, 2011",16:30:00,17:30:00,"AP","""Marvelous Molecules in Play""","Room 4-370","The Department of Chemistry will present a selection of live chemical reactions followed by explanation. Includes audience participation.","42.35895617207636","-71.09070539474487"
"April 7, 2011",16:30:00,19:30:00,"F","WELCOME BBQ AT ALPHA EPSILON PI","Alpha Epsilon Pi, 155 Bay State Rd., Boston","Meat is what's for dinner in Back Bay Boston. Come enjoy good food, good music, great people, and a beautiful view of Cambridge and the Charles River... Call us for ride: 847-902-0863 ","42.350900862009205","-71.10055446624756"
"April 7, 2011",17:00:00,18:00:00,"D","Speed Cooking","Meet at East Campus (62), Talbot Lounge","You need to be quick to keep up MIT. Come learn how to make easy dishes that won't keep you away from your psets for more than a few minutes.","42.360295980780094","-71.08874201774597"
"April 7, 2011",17:00:00,19:00:00,"F","BBQ with Sigma Nu","Sigma Nu, 28 The Fenway, Boston","Join the brothers of Sigma Nu for BBQing on our front lawn in Back Bay Boston! A 3 minute walk from the Saferide Boston East stop on Newbury Street.","42.34572","-71.09031"
"April 7, 2011",17:00:00,19:00:00,"DP","Unique to Next: Residence-Based Advising (RBA)","Next House (W71), Dining Hall","MIT offers Residence-Based Advising to certain dorms, where you and your classmates live in the same dorm!  Come to Next House Dining to learn more about this program from our undergraduate Residential Associate Advisors!","42.35454807912188","-71.10214233398438"
"April 7, 2011",17:00:00,20:00:00,"F","Chill and Grill","Theta Xi, 64 Bay State Rd., Boston","You chill, we grill. We'll be cooking up a storm on the historic Bay State Road and relaxing in and around our beautiful brownstone house. You can't miss us - we're right under the CITGO sign!","42.349763","-71.095896"
"April 7, 2011",17:00:00,20:00:00,"F","Check Out the Beta House","Beta Theta Pi, 119 Bay State Rd., Boston","Check out our house, jam with some of the brothers in our stage room, play hacky sack, skateboard out in front, we like all of the above.","42.350282399860056","-71.09846234321594"
"April 7, 2011",17:00:00,20:00:00,"D","Are You Smarter Than an MIT Student? Do you like ice cream?","Burton-Conner House (W51), TV Lounge","You LOVE ice cream. And you KNOW you're a pretty smart cookie. To resist is hopeless. Your existence is meaningless without ice cream and trivia.","42.35618132947636","-71.09744310379028"
"April 7, 2011",17:15:00,18:30:00,"F","Wiki Racing & Dinner","Epsilon Theta, 259 St. Paul St., Brookline","Race through cyberspace from “Bananas” to “Communism”! No ctrl-f! Afterward enjoy a delicious home-cooked meal with honey mustard chicken, spinach salad, and cherry crisp for desert. Vegetarian options are always available. Meet us in Lobby 7 to catch our Big Silver van to ET.",,"US"
"April 7, 2011",17:17:00,18:17:00,"D","(Almost) Life-Sized Settlers of Catan","Random Hall (NW61)","Come and play a Random Hall favorite board game, now in epic proportions.","42.362035","-71.098074"
"April 7, 2011",17:30:00,18:30:00,"F","Roofdeck Smoothies","pika, 69 Chestnut Street, Cambridge","Sit on pika's roofdeck and enjoy the view. Sip a smoothie, hear about MIT and pika, and relax. Follow the orange flags from Simmons (W79) to pika.","42.356445","-71.10822"
"April 7, 2011",17:30:00,19:15:00,"*PM","Minority Family Reception","Walker Memorial (50), Morss Hall","The Office of Admissions and the Office of Minority Education (OME), welcomes new families to its African American, Latino, and Native American communities. You are invited to join campus administrators, faculty, current students, and parents to learn more about campus, student resources, and support services. Guest speakers from throughout the community will share their insight and experiences. ","42.35925743332775","-71.08828067779541"
"April 7, 2011",17:30:00,20:30:00,"DP","Unique to Next: Next Dining ","Next House (W71), Dining Hall","Next House has a dining hall! We’ll be offering you free meals; taste some of MIT’s cafeteria food, ranging from quesadillas to self-choice stir fry bar! ","42.35454807912188","-71.10214233398438"
"April 7, 2011",18:00:00,02:00:00,"O","Help Design The Tech and Come to Our Open Newsroom","Student Center (W20), 4th Floor, Room 483","Interested in writing, taking photos, or helping lay out a newspaper? Help our team of editors, writers and designers put together our issue about YOU! Not ready to contribute? Just come learn more about MIT’s student “School of Journalism.” If you stop by early enough, you might grab a byline!",,
"April 7, 2011",18:00:00,18:20:00,"F","Walk to pika","Lobby 7","Meet a pikan at Lobby 7 to walk to pika. Dinner is at 6:30.","42.35928914495442","-71.09332323074341"
"April 7, 2011",18:00:00,19:00:00,"F","London Broil Dinner","Alpha Delta Phi, 351 Massachusetts Ave., Cambridge","Tired from your long car trip, flight, or horseback ride to come here for CPW? No matter how you got here, take a short walk to the house to enjoy our Chef Bobby’s specialty, a hearty London Broil. Nothing like a good home cooked meal to start the weekend off right!","42.36287245568483","-71.09907388687134"
"April 7, 2011",18:00:00,20:00:00,"F","Dinner at Phi Delts","Phi Delta Theta, 97 Bay State Rd., Boston","Come experience some delicious Italian food with the brothers of Phi Delta Theta, and see what life is like on the other side of the river.","42.35020310940082","-71.09752893447876"
"April 7, 2011",18:00:00,20:00:00,"PO","ASO and Palestine@MIT Mana'eesh Night","McCormick Hall (W4), 1st Floor, East Tower, Country Kitchen ","Come join the Arab community at MIT for a night of Mana'eesh [pastry], mint tea, and Fairouz. A collection of cheese, za'atar, and labneh will be available to your taste.","42.35703757969258","-71.09469652175903"
"April 7, 2011",18:00:00,20:00:00,"D","Cruft Smashing","Meet at East Campus (62), Talbot Lounge","There are multiple definitions of ""cruft"" at MIT. This is the sort of cruft that looks less like alums who need to get on with their lives and more like old or broken electronic things. Come smash with us.","42.36027219744272","-71.08875274658203"
"April 7, 2011",18:00:00,20:00:00,"F","Dinner with Kappa Sigma","Kappa Sigma, 407 Memorial Dr., Cambridge","Stop by our convenient location to grab some dinner, play some pool and more with the brothers of Kappa Sigma.","42.356125831374555","-71.09736800193787"
"April 7, 2011",18:00:00,20:00:00,"F","Dinner at ZBT: Chicken Parmesan","Zeta Beta Tau, 58 Manchester Rd., Brookline","Come enjoy a great home cooked meal with the brothers of ZBT. Tonight our chef is serving up some delicious Chicken Parmesan. A vegetarian option will be available. Call Rick for Rides (617-232-3257).","42.348808","-71.124008"
"April 7, 2011",18:00:00,20:00:00,"F","Gerry’s World Famous Fried Chicken","Phi Kappa Sigma, 530 Beacon St., Boston","Come to Phi Kappa Sigma (Skullhouse) for chef extraordinaire Gerry Martinez’s delicious fried chicken, with corn and mashed potatoes. You haven’t tried chicken until you’ve tried Gerry’s fried chicken. ","42.350578","-71.090941"
"April 7, 2011",18:00:00,20:30:00,"D","Grilling at EC","East Campus Courtyard (between Buildings 62 and 64)","Come to the EC Courtyard for a variety of grilled foods. Like burgers. And probably vegetables and mysterious soy products if we can get our act together. ","42.360256341879456","-71.08836650848389"
"April 7, 2011",18:15:00,19:00:00,"D","Diner a La Maison Francaise","New House (W70), French House (House 6), 5th Floor Kitchen","Come eat a home-cooked dinner on la maison!","42.35500793060204","-71.10117673873901"
"April 7, 2011",18:30:00,19:30:00,"FP","Teriyaki!!!!","Theta Delta Chi, 372 Memorial Dr., Cambridge","Beef & chicken teriyaki for dinner! Who could want more? Parents are welcome!","42.356355751762926","-71.09648287296295"
"April 7, 2011",18:30:00,19:30:00,"F","Italian Night","Zeta Psi, 233 Mass Ave., Cambridge","Who needs the Olive Garden when you can have Italian cooked by the Brothers of Zeta Psi.","42.36171107315231","-71.09715342521667"
"April 7, 2011",18:30:00,19:30:00,"F","Indian Dinner","pika, 69 Chestnut St., Cambridge","This happens every week, but we still get excited every time. Follow the orange flags from Simmons (W79) to pika, and stick around for house tours after dinner.","42.35638746485392","-71.10842943191528"
"April 7, 2011",18:36:00,19:36:00,"F","Dinner at Number Six","Delta Psi (Number Six Club), 428 Memorial Dr., Cambridge","Just arrived? Drop by our Fraternity for some dinner, made by our wonderful chef.","42.355658059712006","-71.09881639480591"
"April 7, 2011",18:47:00,19:47:00,"D","Card Games","Random Hall (NW61)","Kick down the door wearing a *Spiked Codpiece* in Munchkin, or use your creativity to contribute to our growing 1000 Blank White Cards deck.","42.362035","-71.098074"
"April 7, 2011",18:55:00,20:30:00,"F","Telephone Pictionary","Epsilon Theta, 259 St. Paul St., Brookline","How do you get from horn-rimmed glasses to spotted dinosaurs doing a mating dance? Come find out. Meet us at Lobby 7 to catch our Big Silver Van to Epsilon Theta.",,"Meet us at Lobby 7 to catch our Big Silver Van to Epsilon Theta."
"April 7, 2011",19:00:00,20:00:00,"AP","Biology Department Open House","Room 68-181","Get the information you need about the Major in Biology and Minor in Biology programs. Come to this open house if you are interested in a major or minor in Course 7 (Biology) or if you are considering a premed focus.","42.36163576091584","-71.08864545822144"
"April 7, 2011",19:00:00,20:00:00,"F","Sundaes on Thursday","Kappa Sigma, 407 Memorial Dr., Cambridge","You'll be gone by Sunday, so enjoy some ice cream now. Make your perfect sundae at our top-notch sundae bar or have our distinguished sundae chef make one for you.  Fun is guaranteed. ","42.35613375967781","-71.09736263751984"
"April 7, 2011",19:00:00,20:00:00,"F","WILG Dinner","WILG, 355 Massachusetts Ave., Cambridge","MIT's Women's Independent Living Group (WILG) serves a delicious homemade dinner every night at 7! We're just a 7 minute walk from campus. Come by and meet some great undergrads while enjoying their cooking.","42.36303100453581","-71.09929919242859"
"April 7, 2011",19:00:00,20:30:00,"PG","Super FHE!","McCormick Hall (W4), East Penthouse","MIT LDS students guarantee a message, fun activity, treats, and the opportunity to meet new friends with shared values. You'll leave inspired for the official Class of 2015 Student Welcome, just as weekly Family Home Evening (FHE) inspires us.","42.35729128121982","-71.09416007995605"
"April 7, 2011",19:00:00,20:30:00,"ADP","iHouse Spring Project Showcase","New House (W70), New House 1, 2nd Floor, Balcony","Are you interested in doing service learning projects around the world? Then come learn about projects done by members of MIT’s only living and learning community, iHouse. Rain Location: New House (W70), New House 1, 1st Floor, iHouse Lounge.","42.35511496451555","-71.10019505023956"
"April 7, 2011",19:17:00,19:47:00,"G","Maghrib Prayer","Religious Activities Center (W11), 1st Floor, Musallah","Come pray with other MIT Muslims.",,
"April 7, 2011",19:17:00,20:17:00,"D","Wok Combinator","Random Hall (NW61)","The combinator is well appreciated in computer science. A lesser known role of the combinator in food science, and a closely guarded secret is the WOK combinator, guaranteed to combine vegetable and meat in record runtime.","42.362035","-71.098074"
"April 7, 2011",19:17:00,20:17:00,"D","Story Time with Cruft","Random Hall (NW61)","cruft, n.- code, data, or software of poor quality. Also: fluff, detritus and MIT alumni. Come learn of ye olden tymes from the ancient ones.","42.362035","-71.098074"
"April 7, 2011",19:30:00,20:30:00,"F","Dinner at DU","Delta Upsilon, 526 Beacon St., Boston","Come enjoy a dinner prepared by our very own Chef Edilson. Born in the Amazon, a lost tribe taught Edilson to grill perfect steaks. Be a part of our long standing tradition, and join the brothers of DU for dinner.","42.350581","-71.09085"
"April 7, 2011",19:30:00,20:30:00,"FP","House Tours","pika, 69 Chestnut St., Cambridge","Learn about building a roofdeck, giant Tesla coils, and why our laundry system is fantastic, and crawl through a secret passageway. To get here, follow the orange flags from Simmons (W79) to pika.","42.35645089098791","-71.10842943191528"
"April 7, 2011",19:30:00,20:45:00,"*P","Parent Welcome","Room 26-100","Stu Schmill, Dean of Admissions and Alexander Slocum, Neil and Jane Pappalardo Professor of Mechanical Engineering and MacVicar Faculty Fellow, welcome the Class of 2015 parents to Campus Preview Weekend.","42.36065272976079","-71.09072685241699"
"April 7, 2011",19:45:00,21:00:00,"F","Bridge Building Competition ","Theta Delta Chi, 372 Memorial Dr., Cambridge","Think you have what it takes to build the best bridge? Then prove it in head-to-head competition for the grand prize! ","42.356355751762926","-71.09648287296295"
"April 7, 2011",20:00:00,23:00:00,"F","Analog Game Night","Theta Xi, 64 Bay State Rd., Boston","Tired of running out of power in the middle of a videogame? Then hop on a Saferide and join us for a night full of board games, pool, foosball, and other games you can play without electronics, all while snacking on foods made in-house on our Fryalator.","42.349763","-71.095896"
"April 7, 2011",20:30:00,21:30:00,"*","CPW Prefrosh Welcome and Icebreaker","Rockwell Cage (W33)","The official welcome for the Class of 2015 - this will be the first time that all of your prospective MIT classmates will be together!","42.359126","-71.095924"
"April 7, 2011",20:38:00,21:18:00,"G","Isha Prayer","Religious Activities Center (W11), 1st Floor, Musallah","Come pray with other MIT Muslims.",,
